zone_origin;zone_destination;current_type;forced_outage_rate;compliance_wrt_70p_target;for_direction;rated_power;nber_of_poles
benelux;france;hvac;6;false;one-directional;0.00;1
benelux;germany;hvac;2;false;;5400.00;8
benelux;scandinavia;hvdc;5.3;;bi-directional;700.00;1
france;germany;hvac;2;false;one-directional;0.00;2
france;iberian-peninsula;hvac;0;true;;0.00;2
france;italy;hvdc;7.4;true;one-directional;1200.00;2
germany;scandinavia;hvdc;5.3;;;3715.00;1
poland;scandinavia;hvdc;6;true;bi-directional;600.00;1
scandinavia;germany;hvdc;5.3;;;3700.00;1
scandinavia;poland;hvdc;6;true;bi-directional;0.00;1
